Ioff,Ion,SS,Vth,Vth2
-11.04520,-5.02309,75.15600,0.31552,0.443011
-10.44340,-4.97763,77.68700,0.27774,0.414745
-10.48930,-5.02766,76.43700,0.27750,0.414996
-9.79890,-4.94311,78.75040,0.22747,0.353794
-9.49169,-4.95650,79.67990,0.20605,0.342501
-10.71140,-4.92954,75.90300,0.29572,0.420972
-10.53460,-4.98369,76.92200,0.27948,0.401119
-10.33660,-4.94638,73.87200,0.25598,0.370546
-10.50280,-4.98438,75.37200,0.27604,0.405262
-11.19270,-4.99620,74.01900,0.32753,0.4592
-10.29350,-4.94674,73.34280,0.25062,0.370197
-11.63470,-5.03528,75.52800,0.36910,0.497863
-9.94806,-4.94264,76.76800,0.23388,0.357433
-10.29180,-4.97718,74.67900,0.25549,0.375362
-10.62890,-4.98069,76.14500,0.28827,0.418619
-10.45790,-4.99086,73.78800,0.26640,0.397349
-10.25130,-5.00449,77.88600,0.26453,0.402701
-9.92864,-4.92283,77.69220,0.23485,0.352106
-10.10540,-4.96627,75.23850,0.24163,0.365784
-10.23950,-5.00572,76.24450,0.25428,0.387519
-10.02110,-4.99294,78.81200,0.24809,0.389736
-9.87315,-4.94050,77.42060,0.23021,0.362339
-10.34730,-4.97724,75.56800,0.26412,0.395256
-10.15260,-4.93858,76.33090,0.24952,0.371307
-10.28310,-4.97243,76.60700,0.26394,0.402483
-10.99310,-4.98070,74.92800,0.31615,0.450403
-11.25090,-5.02807,75.13200,0.33373,0.473755
-9.35038,-4.94767,77.02300,0.18752,0.319693
-10.73360,-5.00853,76.39300,0.29811,0.443999
-10.33250,-4.96141,74.73300,0.25696,0.378314
-8.83737,-4.91406,80.12860,0.15317,0.286042
-10.78280,-4.96603,78.00800,0.30890,0.442803
-10.99350,-5.00775,76.30600,0.32058,0.463036
-9.58333,-4.95310,79.23990,0.21135,0.34216
-11.49500,-5.02733,73.94300,0.34992,0.485053
-10.33810,-4.93230,78.13600,0.27130,0.395897
-10.93240,-5.00852,76.53500,0.31143,0.448442
-9.91685,-5.00410,75.41590,0.22863,0.362354
-10.44990,-4.99907,79.85000,0.28700,0.433726
-10.73560,-4.99504,76.00800,0.29644,0.438595
-11.78810,-5.01168,74.92600,0.37796,0.506072
-10.94660,-5.02562,76.73200,0.31238,0.455934
-10.69070,-4.98993,72.15100,0.28325,0.407165
-11.36290,-5.00252,74.17500,0.33468,0.456369
-10.15860,-4.99559,75.74480,0.24754,0.385517
-9.14749,-4.97751,78.19880,0.17452,0.311337
-10.61680,-4.95587,78.67100,0.29766,0.42797
-9.87984,-4.97968,75.98510,0.22717,0.358128
-10.35890,-4.98684,75.95600,0.26735,0.399402
-10.95270,-4.99961,72.99300,0.30379,0.432568
-9.84322,-4.94693,78.61380,0.23168,0.365733
-9.55028,-4.96788,79.00500,0.21012,0.351889
-10.50370,-4.99640,73.57600,0.26762,0.396086
-11.26440,-5.02455,72.45500,0.32180,0.448203
-11.15480,-4.97869,73.82800,0.32377,0.44029
-11.39490,-5.03382,74.33700,0.34473,0.479235
-10.67720,-4.99728,77.74100,0.29810,0.439347
-10.95090,-4.98601,73.97100,0.30549,0.438346
-10.80430,-4.98034,74.64100,0.29471,0.419909
-10.40580,-4.98067,75.80900,0.26895,0.407932
-10.66700,-5.00941,76.38500,0.28925,0.431943
-10.82840,-5.01688,76.51300,0.30553,0.440968
-10.81560,-4.95133,78.08200,0.31475,0.433282
-10.33740,-4.98025,75.68900,0.26212,0.393244
-9.80327,-4.98185,74.62620,0.21645,0.346569
-10.41730,-4.99038,78.75100,0.28063,0.421865
-10.20080,-4.95454,78.42000,0.25890,0.375199
-11.14430,-5.04643,73.14600,0.31556,0.457867
-10.49870,-4.98253,78.86600,0.29060,0.429434
-11.26490,-5.01147,77.14200,0.34634,0.474647
-11.26610,-4.97447,73.67700,0.32947,0.453157
-10.34510,-5.02578,75.33600,0.26269,0.395302
-10.90280,-5.02158,75.65800,0.30651,0.44688
-10.38000,-4.96680,76.78700,0.27025,0.405297
-10.22800,-4.99529,76.86510,0.25577,0.383975
-10.49930,-5.02731,77.91000,0.28299,0.424544
-9.65781,-4.99593,79.46470,0.21994,0.365795
-11.11760,-5.01799,75.15400,0.32463,0.465233
-9.67474,-4.93677,75.79170,0.20964,0.336967
-11.45620,-5.00716,71.40300,0.33399,0.454695
-9.97023,-4.96746,76.65040,0.23662,0.369139
-11.14270,-5.00750,73.90000,0.32048,0.445051
-11.15620,-5.04203,78.16900,0.33974,0.487392
-9.96018,-4.91813,78.59810,0.23963,0.354181
-10.08080,-4.99169,78.00540,0.24922,0.382727
-10.55990,-4.96857,78.40400,0.28810,0.41567
-10.45970,-5.01069,74.26400,0.26561,0.39829
-9.72081,-4.94680,76.15860,0.21324,0.332446
-10.03540,-4.98626,77.17010,0.24336,0.379793
